Name,Age,Nationality,Club,Value,International Reputation,Jersey Number,Position,Preferred Foot,Body Type,Joined,Height,Weight,Crossing,Acceleration,SprintSpeed,Agility,Balance,ShotPower,Jumping,Stamina,Strength,Penalties,Overall
L. Messi,31,Argentina,FC Barcelona,11050000,5,10,RF,Left,Lean,2005,5'7,159lbs,84,91,86,91,95,85,68,72,59,75,94
Cristiano Ronaldo,33,Portugal,Juventus,15500000,5,7,ST,Right,Normal,2018,6'2,183lbs,84,89,91,87,70,95,95,88,79,85,94
Neymar Jr,26,Brazil,Paris Saint-Germain,11850000,5,10,LW,Right,Neymar,2017,5'9,150lbs,79,94,90,96,84,80,61,81,49,81,92
De Gea,27,Spain,Manchester United,7200000,4,1,GK,Right,Lean,2011,6'4,168lbs,17,57,58,60,43,31,67,43,64,40,91
K. De Bruyne,27,Belgium,Manchester City,10200000,4,7,RCM,Right,Normal,2015,5'11,154lbs,93,78,76,79,77,91,63,90,75,79,91
E. Hazard,27,Belgium,Chelsea,9300000,4,10,LF,Right,Normal,2012,5'8,163lbs,81,94,88,95,94,82,56,83,66,86,91
L. Modrig,32,Croatia,Real Madrid,6700000,4,10,RCM,Right,Lean,2012,5'8,146lbs,86,80,72,93,94,79,68,89,58,82,91
L. Suarez,31,Uruguay,FC Barcelona,8000000,5,9,RS,Right,Normal,2014,6'0,190lbs,77,86,75,82,83,86,69,90,83,85,91
Sergio Ramos,32,Spain,Real Madrid,5100000,4,15,RCB,Right,Normal,2005,6'0,181lbs,66,76,75,78,66,79,93,84,83,75,91
J. Oblak,25,Slovenia,Atletico Madrid,6800000,3,1,GK,Right,Normal,2014,6'2,192lbs,13,43,60,67,49,22,76,41,78,11,90
R. Lewandowski,29,Poland,FC Bayern Munchen,7700000,4,9,ST,Right,Normal,2014,6'0,176lbs,62,77,78,78,78,88,84,78,84,88,90
T. Kroos,28,Germany,Real Madrid,7650000,4,8,LCM,Right,Normal,2014,6'0,168lbs,88,64,62,70,71,87,30,75,73,73,90
D. Godven,32,Uruguay,Atletico Madrid,4400000,3,10,CB,Right,Lean,2010,6'2,172lbs,55,68,68,58,54,67,91,66,88,50,90
David Silva,32,Spain,Manchester City,6000000,4,21,LCM,Left,Normal,2010,5'8,148lbs,84,70,64,92,90,72,64,78,52,75,90
N. Kant,27,France,Chelsea,6300000,3,13,LDM,Right,Lean,2016,5'6,159lbs,68,82,78,82,92,71,77,96,76,54,89
P. Dybala,24,Argentina,Juventus,8900000,3,21,LF,Left,Normal,2015,5'10,165lbs,82,87,83,91,85,82,75,80,65,86,89
H. Kane,24,England,Tottenham Hotspur,8350000,3,9,ST,Right,Normal,2010,6'2,196lbs,75,68,72,71,71,88,78,89,84,90,89
A. Griezmann,27,France,Atletico Madrid,7800000,4,7,CAM,Left,Lean,2014,5'9,161lbs,82,88,85,90,80,80,90,83,62,79,89
M. ter Stegen,26,Germany,FC Barcelona,5800000,3,22,GK,Right,Normal,2014,6'2,187lbs,15,38,50,37,43,22,79,35,79,25,89
T. Courtois,26,Belgium,Real Madrid,5350000,4,1,GK,Left,Stocky,2018,6'6,212lbs,14,46,52,61,45,36,68,38,70,27,89
Sergio Busquets,29,Spain,FC Barcelona,5150000,4,5,CDM,Right,Lean,2008,6'2,168lbs,62,50,52,66,52,61,66,86,77,60,89
E. Cavani,31,Uruguay,Paris Saint-Germain,6000000,4,21,LS,Right,Lean,2013,6'1,170lbs,70,75,76,77,59,87,88,92,78,85,89
M. Neuer,32,Germany,FC Bayern Munchen,3800000,5,1,GK,Right,Normal,2011,6'4,203lbs,15,54,60,51,35,25,77,43,80,47,89
S. Agluero,30,Argentina,Manchester City,6450000,4,10,ST,Right,Stocky,2011,5'8,154lbs,70,88,80,86,91,88,81,76,73,83,89
